month,account_id,product,crop,sales_plan,volume_plan,gross_profit_plan
2026-01,A1002,Elatus Plus,Wheat,672719,261,168180
2026-02,A1002,Elatus Plus,Wheat,739991,287,184998
2026-03,A1002,Elatus Plus,Wheat,829687,322,207422
2026-01,A1002,Axial Prime,Corn,458445,196,123780
2026-02,A1002,Axial Prime,Corn,504290,215,136158
2026-03,A1002,Axial Prime,Corn,565416,241,152662
2026-01,A1002,Score Flex,Fruit,348817,111,101157
2026-02,A1002,Score Flex,Fruit,383699,122,111273
2026-03,A1002,Score Flex,Fruit,430208,137,124760
2026-04,A1002,Elatus Plus,Wheat,901443,350,225361
2026-05,A1002,Elatus Plus,Wheat,991588,384,247897
2026-06,A1002,Elatus Plus,Wheat,1111780,431,277945
2026-04,A1002,Axial Prime,Corn,614317,262,165866
2026-05,A1002,Axial Prime,Corn,675749,288,182452
2026-06,A1002,Axial Prime,Corn,757658,323,204568
2026-04,A1002,Score Flex,Fruit,467415,149,135550
2026-05,A1002,Score Flex,Fruit,514157,163,149105
2026-06,A1002,Score Flex,Fruit,576479,183,167179
2026-07,A1002,Elatus Plus,Wheat,793808,308,198452
2026-08,A1002,Elatus Plus,Wheat,873189,339,218297
2026-09,A1002,Elatus Plus,Wheat,979030,380,244757
2026-07,A1002,Axial Prime,Corn,540966,231,146061
2026-08,A1002,Axial Prime,Corn,595062,254,160667
2026-09,A1002,Axial Prime,Corn,667191,285,180142
2026-07,A1002,Score Flex,Fruit,411604,131,119365
2026-08,A1002,Score Flex,Fruit,452765,144,131302
2026-09,A1002,Score Flex,Fruit,507645,161,147217
2026-10,A1002,Elatus Plus,Wheat,551630,214,137907
2026-11,A1002,Elatus Plus,Wheat,606792,235,151698
2026-12,A1002,Elatus Plus,Wheat,680343,264,170086
2026-10,A1002,Axial Prime,Corn,375925,160,101500
2026-11,A1002,Axial Prime,Corn,413518,176,111650
2026-12,A1002,Axial Prime,Corn,463641,198,125183
2026-10,A1002,Score Flex,Fruit,286030,91,82949
2026-11,A1002,Score Flex,Fruit,314633,100,91244
2026-12,A1002,Score Flex,Fruit,352771,112,102303
2026-01,A1003,Revus Top,Vegetables,558107,178,178594
2026-02,A1003,Revus Top,Vegetables,613918,195,196454
2026-03,A1003,Revus Top,Vegetables,688332,219,220266
2026-01,A1003,Score Flex,Fruit,428547,136,124279
2026-02,A1003,Score Flex,Fruit,471401,150,136706
2026-03,A1003,Score Flex,Fruit,528541,168,153277
2026-01,A1003,Amistar Pro,Potatoes,338851,164,81324
2026-02,A1003,Amistar Pro,Potatoes,372736,181,89457
2026-03,A1003,Amistar Pro,Potatoes,417916,202,100300
2026-04,A1003,Revus Top,Vegetables,747864,238,239316
2026-05,A1003,Revus Top,Vegetables,822650,262,263248
2026-06,A1003,Revus Top,Vegetables,922366,293,295157
2026-04,A1003,Score Flex,Fruit,574253,183,166533
2026-05,A1003,Score Flex,Fruit,631678,201,183187
2026-06,A1003,Score Flex,Fruit,708245,225,205391
2026-04,A1003,Amistar Pro,Potatoes,454060,220,108974
2026-05,A1003,Amistar Pro,Potatoes,499466,242,119872
2026-06,A1003,Amistar Pro,Potatoes,560008,272,134402
2026-07,A1003,Revus Top,Vegetables,658567,209,210741
2026-08,A1003,Revus Top,Vegetables,724424,230,231816
2026-09,A1003,Revus Top,Vegetables,812233,258,259914
2026-07,A1003,Score Flex,Fruit,505685,161,146649
2026-08,A1003,Score Flex,Fruit,556254,177,161314
2026-09,A1003,Score Flex,Fruit,623678,198,180867
2026-07,A1003,Amistar Pro,Potatoes,399844,194,95963
2026-08,A1003,Amistar Pro,Potatoes,439829,213,105559
2026-09,A1003,Amistar Pro,Potatoes,493141,239,118354
2026-10,A1003,Revus Top,Vegetables,457648,146,146447
2026-11,A1003,Revus Top,Vegetables,503413,160,161092
2026-12,A1003,Revus Top,Vegetables,564433,179,180618
2026-10,A1003,Score Flex,Fruit,351408,112,101908
2026-11,A1003,Score Flex,Fruit,386549,123,112099
2026-12,A1003,Score Flex,Fruit,433404,138,125687
2026-10,A1003,Amistar Pro,Potatoes,277858,135,66686
2026-11,A1003,Amistar Pro,Potatoes,305644,148,73354
2026-12,A1003,Amistar Pro,Potatoes,342691,166,82246
2026-01,A1004,Switch Max,Grapes,588006,187,176402
2026-02,A1004,Switch Max,Grapes,646807,206,194042
2026-03,A1004,Switch Max,Grapes,725207,231,217562
2026-01,A1004,Score Flex,Fruit,408614,130,114412
2026-02,A1004,Score Flex,Fruit,449476,143,125853
2026-03,A1004,Score Flex,Fruit,503958,160,141108
2026-01,A1004,Revus Top,Vegetables,308952,98,95775
2026-02,A1004,Revus Top,Vegetables,339848,108,105353
2026-03,A1004,Revus Top,Vegetables,381041,121,118123
2026-04,A1004,Switch Max,Grapes,787928,251,236378
2026-05,A1004,Switch Max,Grapes,866721,276,260016
2026-06,A1004,Switch Max,Grapes,971778,309,291533
2026-04,A1004,Score Flex,Fruit,547543,174,153312
2026-05,A1004,Score Flex,Fruit,602298,191,168643
2026-06,A1004,Score Flex,Fruit,675303,215,189085
2026-04,A1004,Revus Top,Vegetables,413996,132,128339
2026-05,A1004,Revus Top,Vegetables,455396,145,141173
2026-06,A1004,Revus Top,Vegetables,510595,162,158285
2026-07,A1004,Switch Max,Grapes,693847,221,208154
2026-08,A1004,Switch Max,Grapes,763232,243,228970
2026-09,A1004,Switch Max,Grapes,855745,272,256723
2026-07,A1004,Score Flex,Fruit,482165,153,135006
2026-08,A1004,Score Flex,Fruit,530382,169,148507
2026-09,A1004,Score Flex,Fruit,594670,189,166508
2026-07,A1004,Revus Top,Vegetables,364564,116,113015
2026-08,A1004,Revus Top,Vegetables,401020,127,124316
2026-09,A1004,Revus Top,Vegetables,449629,143,139385
2026-10,A1004,Switch Max,Grapes,482165,153,144650
2026-11,A1004,Switch Max,Grapes,530382,169,159114
2026-12,A1004,Switch Max,Grapes,594670,189,178401
2026-10,A1004,Score Flex,Fruit,335064,107,93818
2026-11,A1004,Score Flex,Fruit,368570,117,103200
2026-12,A1004,Score Flex,Fruit,413245,131,115709
2026-10,A1004,Revus Top,Vegetables,253341,81,78536
2026-11,A1004,Revus Top,Vegetables,278675,89,86389
2026-12,A1004,Revus Top,Vegetables,312454,100,96861
2026-01,A1005,Score Flex,Fruit,707600,225,205204
2026-02,A1005,Score Flex,Fruit,778360,248,225725
2026-03,A1005,Score Flex,Fruit,872707,278,253085
2026-01,A1005,Revus Top,Vegetables,388682,124,124378
2026-02,A1005,Revus Top,Vegetables,427550,136,136816
2026-03,A1005,Revus Top,Vegetables,479375,152,153400
2026-01,A1005,Switch Max,Grapes,328885,105,95377
2026-02,A1005,Switch Max,Grapes,361773,115,104914
2026-03,A1005,Switch Max,Grapes,405625,129,117631
2026-04,A1005,Score Flex,Fruit,948185,302,274974
2026-05,A1005,Score Flex,Fruit,1043003,332,302471
2026-06,A1005,Score Flex,Fruit,1169428,372,339134
2026-04,A1005,Revus Top,Vegetables,520834,166,166667
2026-05,A1005,Revus Top,Vegetables,572917,182,183334
2026-06,A1005,Revus Top,Vegetables,642362,204,205556
2026-04,A1005,Switch Max,Grapes,440706,140,127805
2026-05,A1005,Switch Max,Grapes,484776,154,140585
2026-06,A1005,Switch Max,Grapes,543537,173,157626
2026-07,A1005,Score Flex,Fruit,834969,266,242141
2026-08,A1005,Score Flex,Fruit,918466,292,266355
2026-09,A1005,Score Flex,Fruit,1029795,327,298640
2026-07,A1005,Revus Top,Vegetables,458645,146,146766
2026-08,A1005,Revus Top,Vegetables,504509,160,161443
2026-09,A1005,Revus Top,Vegetables,565662,180,181012
2026-07,A1005,Switch Max,Grapes,388084,123,112544
2026-08,A1005,Switch Max,Grapes,426892,136,123799
2026-09,A1005,Switch Max,Grapes,478637,152,138805
2026-10,A1005,Score Flex,Fruit,580232,185,168267
2026-11,A1005,Score Flex,Fruit,638256,203,185094
2026-12,A1005,Score Flex,Fruit,715620,228,207530
2026-10,A1005,Revus Top,Vegetables,318719,101,101990
2026-11,A1005,Revus Top,Vegetables,350591,112,112189
2026-12,A1005,Revus Top,Vegetables,393087,125,125788
2026-10,A1005,Switch Max,Grapes,269686,86,78209
2026-11,A1005,Switch Max,Grapes,296654,94,86030
2026-12,A1005,Switch Max,Grapes,332612,106,96458
2026-01,A1006,Amistar Pro,Potatoes,523226,254,125574
2026-02,A1006,Amistar Pro,Potatoes,575548,279,138132
2026-03,A1006,Amistar Pro,Potatoes,645312,313,154875
2026-01,A1006,Axial Prime,Corn,368750,157,95875
2026-02,A1006,Axial Prime,Corn,405624,173,105462
2026-03,A1006,Axial Prime,Corn,454791,194,118246
2026-01,A1006,Elatus Plus,Wheat,318919,124,79730
2026-02,A1006,Elatus Plus,Wheat,350810,136,87703
2026-03,A1006,Elatus Plus,Wheat,393333,152,98333
2026-04,A1006,Amistar Pro,Potatoes,701123,340,168269
2026-05,A1006,Amistar Pro,Potatoes,771235,374,185096
2026-06,A1006,Amistar Pro,Potatoes,864718,419,207532
2026-04,A1006,Axial Prime,Corn,494124,211,128472
2026-05,A1006,Axial Prime,Corn,543537,232,141320
2026-06,A1006,Axial Prime,Corn,609420,260,158449
2026-04,A1006,Elatus Plus,Wheat,427351,166,106838
2026-05,A1006,Elatus Plus,Wheat,470086,182,117521
2026-06,A1006,Elatus Plus,Wheat,527066,204,131767
2026-07,A1006,Amistar Pro,Potatoes,617406,299,148178
2026-08,A1006,Amistar Pro,Potatoes,679147,329,162995
2026-09,A1006,Amistar Pro,Potatoes,761468,369,182752
2026-07,A1006,Axial Prime,Corn,435125,186,113132
2026-08,A1006,Axial Prime,Corn,478637,204,124446
2026-09,A1006,Axial Prime,Corn,536654,229,139530
2026-07,A1006,Elatus Plus,Wheat,376324,146,94081
2026-08,A1006,Elatus Plus,Wheat,413956,160,103489
2026-09,A1006,Elatus Plus,Wheat,464133,180,116033
2026-10,A1006,Amistar Pro,Potatoes,429045,208,102971
2026-11,A1006,Amistar Pro,Potatoes,471950,229,113268
2026-12,A1006,Amistar Pro,Potatoes,529156,256,126997
2026-10,A1006,Axial Prime,Corn,302375,129,78617
2026-11,A1006,Axial Prime,Corn,332612,142,86479
2026-12,A1006,Axial Prime,Corn,372929,159,96962
2026-10,A1006,Elatus Plus,Wheat,261513,101,65378
2026-11,A1006,Elatus Plus,Wheat,287665,112,71916
2026-12,A1006,Elatus Plus,Wheat,322533,125,80633
2026-01,A1007,Elatus Plus,Wheat,757432,294,204507
2026-02,A1007,Elatus Plus,Wheat,833175,323,224957
2026-03,A1007,Elatus Plus,Wheat,934166,362,252225
2026-01,A1007,Axial Prime,Corn,468412,200,131155
2026-02,A1007,Axial Prime,Corn,515253,220,144271
2026-03,A1007,Axial Prime,Corn,577708,246,161758
2026-01,A1007,Revus Top,Vegetables,348817,111,108133
2026-02,A1007,Revus Top,Vegetables,383699,122,118947
2026-03,A1007,Revus Top,Vegetables,430208,137,133364
2026-04,A1007,Elatus Plus,Wheat,1014958,394,274039
2026-05,A1007,Elatus Plus,Wheat,1116454,433,301443
2026-06,A1007,Elatus Plus,Wheat,1251782,485,337981
2026-04,A1007,Axial Prime,Corn,627672,268,175748
2026-05,A1007,Axial Prime,Corn,690439,294,193323
2026-06,A1007,Axial Prime,Corn,774128,330,216756
2026-04,A1007,Revus Top,Vegetables,467415,149,144899
2026-05,A1007,Revus Top,Vegetables,514157,163,159389
2026-06,A1007,Revus Top,Vegetables,576479,183,178708
2026-07,A1007,Elatus Plus,Wheat,893769,347,241318
2026-08,A1007,Elatus Plus,Wheat,983146,381,265449
2026-09,A1007,Elatus Plus,Wheat,1102315,427,297625
2026-07,A1007,Axial Prime,Corn,552726,236,154763
2026-08,A1007,Axial Prime,Corn,607998,259,170240
2026-09,A1007,Axial Prime,Corn,681695,291,190875
2026-07,A1007,Revus Top,Vegetables,411604,131,127597
2026-08,A1007,Revus Top,Vegetables,452765,144,140357
2026-09,A1007,Revus Top,Vegetables,507645,161,157370
2026-10,A1007,Elatus Plus,Wheat,621094,241,167695
2026-11,A1007,Elatus Plus,Wheat,683203,265,184465
2026-12,A1007,Elatus Plus,Wheat,766016,297,206824
2026-10,A1007,Axial Prime,Corn,384098,164,107547
2026-11,A1007,Axial Prime,Corn,422507,180,118302
2026-12,A1007,Axial Prime,Corn,473720,202,132642
2026-10,A1007,Revus Top,Vegetables,286030,91,88669
2026-11,A1007,Revus Top,Vegetables,314633,100,97536
2026-12,A1007,Revus Top,Vegetables,352771,112,109359
2026-01,A1008,Axial Prime,Corn,538175,230,134544
2026-02,A1008,Axial Prime,Corn,591993,252,147998
2026-03,A1008,Axial Prime,Corn,663749,283,165937
2026-01,A1008,Elatus Plus,Wheat,378716,147,98466
2026-02,A1008,Elatus Plus,Wheat,416587,161,108313
2026-03,A1008,Elatus Plus,Wheat,467083,181,121442
2026-01,A1008,Amistar Pro,Potatoes,289020,140,66475
2026-02,A1008,Amistar Pro,Potatoes,317922,154,73122
2026-03,A1008,Amistar Pro,Potatoes,356458,173,81985
2026-04,A1008,Axial Prime,Corn,721155,308,180289
2026-05,A1008,Axial Prime,Corn,793270,338,198318
2026-06,A1008,Axial Prime,Corn,889424,379,222356
2026-04,A1008,Elatus Plus,Wheat,507479,197,131945
2026-05,A1008,Elatus Plus,Wheat,558227,216,145139
2026-06,A1008,Elatus Plus,Wheat,625891,243,162732
2026-04,A1008,Amistar Pro,Potatoes,387287,188,89076
2026-05,A1008,Amistar Pro,Potatoes,426015,207,97984
2026-06,A1008,Amistar Pro,Potatoes,477654,232,109860
2026-07,A1008,Axial Prime,Corn,635047,271,158762
2026-08,A1008,Axial Prime,Corn,698551,298,174638
2026-09,A1008,Axial Prime,Corn,783224,334,195806
2026-07,A1008,Elatus Plus,Wheat,446885,173,116190
2026-08,A1008,Elatus Plus,Wheat,491573,191,127809
2026-09,A1008,Elatus Plus,Wheat,551158,214,143301
2026-07,A1008,Amistar Pro,Potatoes,341044,165,78440
2026-08,A1008,Amistar Pro,Potatoes,375148,182,86284
2026-09,A1008,Amistar Pro,Potatoes,420620,204,96743
2026-10,A1008,Axial Prime,Corn,441304,188,110326
2026-11,A1008,Axial Prime,Corn,485434,207,121358
2026-12,A1008,Axial Prime,Corn,544274,232,136069
2026-10,A1008,Elatus Plus,Wheat,310547,120,80742
2026-11,A1008,Elatus Plus,Wheat,341601,132,88816
2026-12,A1008,Elatus Plus,Wheat,383008,148,99582
2026-10,A1008,Amistar Pro,Potatoes,236996,115,54509
2026-11,A1008,Amistar Pro,Potatoes,260696,126,59960
2026-12,A1008,Amistar Pro,Potatoes,292296,142,67228
