period,season,account_id,product,gross_sales,invoice_discount,rebates,promo_support,returns_logistics,net_sales,cogs,gross_profit
2026-Q4,After-season,A1002,Elatus Plus,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1002,Axial Prime,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1002,Score Flex,0,0,0,0,0,0,0,0
2026-Q1,Pre-season,A1003,Revus Top,2156058,-53901,-81930,-47433,-3791,1969003,-1299543,669460
2026-Q1,Pre-season,A1003,Score Flex,1640216,-41005,-62328,-36085,-2884,1497914,-1033561,464353
2026-Q1,Pre-season,A1003,Amistar Pro,1066621,-26666,-40532,-23466,-1874,974083,-750044,224039
2026-Q2,In-season,A1003,Revus Top,3183926,-79598,-120989,-70046,-5598,2907695,-1919078,988617
2026-Q2,In-season,A1003,Score Flex,2422163,-60554,-92042,-53288,-4258,2212021,-1526294,685727
2026-Q2,In-season,A1003,Amistar Pro,1575116,-39378,-59854,-34653,-2769,1438462,-1107617,330845
2026-Q3,In-season,A1003,Revus Top,0,0,0,0,0,0,0,0
2026-Q3,In-season,A1003,Score Flex,0,0,0,0,0,0,0,0
2026-Q3,In-season,A1003,Amistar Pro,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1003,Revus Top,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1003,Score Flex,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1003,Amistar Pro,0,0,0,0,0,0,0,0
2026-Q1,Pre-season,A1004,Switch Max,1850901,-46273,-70334,-40720,-3253,1690321,-1267741,422580
2026-Q1,Pre-season,A1004,Score Flex,1563928,-39098,-59429,-34406,-2750,1428245,-1014053,414192
2026-Q1,Pre-season,A1004,Revus Top,1193532,-29838,-45354,-26258,-2098,1089984,-741189,348795
2026-Q2,In-season,A1004,Switch Max,2733291,-68332,-103865,-60132,-4806,2496156,-1872116,624040
2026-Q2,In-season,A1004,Score Flex,2309505,-57738,-87761,-50809,-4060,2109137,-1497487,611650
2026-Q2,In-season,A1004,Revus Top,1762530,-44063,-66976,-38776,-3099,1609616,-1094538,515078
2026-Q3,In-season,A1004,Switch Max,0,0,0,0,0,0,0,0
2026-Q3,In-season,A1004,Score Flex,0,0,0,0,0,0,0,0
2026-Q3,In-season,A1004,Revus Top,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1004,Switch Max,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1004,Score Flex,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1004,Revus Top,0,0,0,0,0,0,0,0
2026-Q1,Pre-season,A1005,Score Flex,2708262,-67707,-102914,-59582,-4760,2473299,-1731308,741991
2026-Q1,Pre-season,A1005,Revus Top,1501542,-37539,-57059,-33034,-2639,1371271,-918751,452520
2026-Q1,Pre-season,A1005,Switch Max,1035250,-25881,-39340,-22776,-1819,945434,-680713,264721
2026-Q2,In-season,A1005,Score Flex,3999388,-99985,-151977,-87987,-7030,3652409,-2556686,1095723
2026-Q2,In-season,A1005,Revus Top,2217377,-55434,-84260,-48782,-3899,2025002,-1356750,668252
2026-Q2,In-season,A1005,Switch Max,1528791,-38220,-58094,-33633,-2688,1396156,-1005232,390924
2026-Q3,In-season,A1005,Score Flex,0,0,0,0,0,0,0,0
2026-Q3,In-season,A1005,Revus Top,0,0,0,0,0,0,0,0
2026-Q3,In-season,A1005,Switch Max,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1005,Score Flex,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1005,Revus Top,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1005,Switch Max,0,0,0,0,0,0,0,0
2026-Q1,Pre-season,A1006,Amistar Pro,1646988,-41175,-62586,-36234,-2894,1504099,-1173197,330902
2026-Q1,Pre-season,A1006,Axial Prime,1358588,-33965,-51626,-29889,-2388,1240720,-930539,310181
2026-Q1,Pre-season,A1006,Elatus Plus,1095140,-27379,-41615,-24093,-1925,1000128,-760098,240030
2026-Q2,In-season,A1006,Amistar Pro,2432167,-60804,-92422,-53508,-4276,2221157,-1732503,488654
2026-Q2,In-season,A1006,Axial Prime,2006272,-50157,-76238,-44138,-3527,1832212,-1374158,458054
2026-Q2,In-season,A1006,Elatus Plus,1617232,-40431,-61455,-35579,-2843,1476924,-1122462,354462
2026-Q3,In-season,A1006,Amistar Pro,0,0,0,0,0,0,0,0
2026-Q3,In-season,A1006,Axial Prime,0,0,0,0,0,0,0,0
2026-Q3,In-season,A1006,Elatus Plus,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1006,Amistar Pro,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1006,Axial Prime,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1006,Elatus Plus,0,0,0,0,0,0,0,0
2026-Q1,Pre-season,A1007,Elatus Plus,2600959,-65024,-98836,-57221,-4573,2375305,-1686468,688837
2026-Q1,Pre-season,A1007,Axial Prime,1725773,-43144,-65579,-37967,-3035,1576048,-1103232,472816
2026-Q1,Pre-season,A1007,Revus Top,1347537,-33688,-51206,-29646,-2370,1230627,-824519,406108
2026-Q2,In-season,A1007,Elatus Plus,3840926,-96023,-145955,-84500,-6753,3507695,-2490462,1017233
2026-Q2,In-season,A1007,Axial Prime,2548510,-63713,-96843,-56067,-4481,2327406,-1629184,698222
2026-Q2,In-season,A1007,Revus Top,1989953,-49749,-75618,-43779,-3498,1817309,-1217597,599712
2026-Q3,In-season,A1007,Elatus Plus,0,0,0,0,0,0,0,0
2026-Q3,In-season,A1007,Axial Prime,0,0,0,0,0,0,0,0
2026-Q3,In-season,A1007,Revus Top,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1007,Elatus Plus,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1007,Axial Prime,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1007,Revus Top,0,0,0,0,0,0,0,0
2026-Q1,Pre-season,A1008,Axial Prime,1982805,-49570,-75347,-43622,-3485,1810781,-1376193,434588
2026-Q1,Pre-season,A1008,Elatus Plus,1300480,-32512,-49418,-28611,-2286,1187653,-890739,296914
2026-Q1,Pre-season,A1008,Amistar Pro,909765,-22744,-34571,-20015,-1599,830836,-648052,182784
2026-Q2,In-season,A1008,Axial Prime,2928076,-73202,-111267,-64418,-5147,2674042,-2032271,641771
2026-Q2,In-season,A1008,Elatus Plus,1920465,-48012,-72978,-42250,-3376,1753849,-1315386,438463
2026-Q2,In-season,A1008,Amistar Pro,1343483,-33587,-51052,-29557,-2362,1226925,-957000,269925
2026-Q3,In-season,A1008,Axial Prime,0,0,0,0,0,0,0,0
2026-Q3,In-season,A1008,Elatus Plus,0,0,0,0,0,0,0,0
2026-Q3,In-season,A1008,Amistar Pro,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1008,Axial Prime,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1008,Elatus Plus,0,0,0,0,0,0,0,0
2026-Q4,After-season,A1008,Amistar Pro,0,0,0,0,0,0,0,0
