period,season,account_id,product,crop,sales_target,sales_actual,volume_target,volume_actual,margin_target,margin_actual,gross_profit,net_waterfall_delta
2026-Q4,After-season,A1002,Elatus Plus,Wheat,1838765,0,713,0,0.25,0.24,0,-441304
2026-Q4,After-season,A1002,Axial Prime,Corn,1253084,0,534,0,0.27,0.28,0,-350863
2026-Q4,After-season,A1002,Score Flex,Fruit,953434,0,303,0,0.29,0.3,0,-286030
2026-Q1,Pre-season,A1003,Revus Top,Vegetables,1860358,1969003,592,576,0.32,0.34,669460,36938
2026-Q1,Pre-season,A1003,Score Flex,Fruit,1428489,1497914,454,438,0.29,0.31,464353,21521
2026-Q1,Pre-season,A1003,Amistar Pro,Potatoes,1129503,974083,547,434,0.24,0.23,224039,-35747
2026-Q2,In-season,A1003,Revus Top,Vegetables,2492880,2907695,793,1036,0.32,0.34,988617,141037
2026-Q2,In-season,A1003,Score Flex,Fruit,1914176,2212021,609,788,0.29,0.31,685727,92332
2026-Q2,In-season,A1003,Amistar Pro,Potatoes,1513534,1438462,734,781,0.24,0.23,330845,-17266
2026-Q3,In-season,A1003,Revus Top,Vegetables,2195223,0,698,0,0.32,0.34,0,-746375
2026-Q3,In-season,A1003,Score Flex,Fruit,1685617,0,536,0,0.29,0.31,0,-522542
2026-Q3,In-season,A1003,Amistar Pro,Potatoes,1332814,0,646,0,0.24,0.23,0,-306548
2026-Q4,After-season,A1003,Revus Top,Vegetables,1525494,0,485,0,0.32,0.34,0,-518669
2026-Q4,After-season,A1003,Score Flex,Fruit,1171361,0,372,0,0.29,0.31,0,-363122
2026-Q4,After-season,A1003,Amistar Pro,Potatoes,926193,0,449,0,0.24,0.23,0,-213023
2026-Q1,Pre-season,A1004,Switch Max,Grapes,1960020,1690321,623,494,0.3,0.25,422580,-67425
2026-Q1,Pre-season,A1004,Score Flex,Fruit,1362048,1428245,433,418,0.28,0.29,414192,19198
2026-Q1,Pre-season,A1004,Revus Top,Vegetables,1029841,1089984,327,318,0.31,0.32,348795,19246
2026-Q2,In-season,A1004,Switch Max,Grapes,2626427,2496156,835,889,0.3,0.25,624040,-32567
2026-Q2,In-season,A1004,Score Flex,Fruit,1825144,2109137,580,751,0.28,0.29,611650,82359
2026-Q2,In-season,A1004,Revus Top,Vegetables,1379987,1609616,439,573,0.31,0.32,515078,73481
2026-Q3,In-season,A1004,Switch Max,Grapes,2312824,0,735,0,0.3,0.25,0,-578206
2026-Q3,In-season,A1004,Score Flex,Fruit,1607217,0,511,0,0.28,0.29,0,-466093
2026-Q3,In-season,A1004,Revus Top,Vegetables,1215213,0,386,0,0.31,0.32,0,-388868
2026-Q4,After-season,A1004,Switch Max,Grapes,1607217,0,511,0,0.3,0.25,0,-401804
2026-Q4,After-season,A1004,Score Flex,Fruit,1116879,0,355,0,0.28,0.29,0,-323895
2026-Q4,After-season,A1004,Revus Top,Vegetables,844470,0,269,0,0.31,0.32,0,-270231
2026-Q1,Pre-season,A1005,Score Flex,Fruit,2358668,2473299,750,724,0.29,0.3,741991,34390
2026-Q1,Pre-season,A1005,Revus Top,Vegetables,1295607,1371271,412,401,0.32,0.33,452520,24970
2026-Q1,Pre-season,A1005,Switch Max,Grapes,1096283,945434,349,277,0.29,0.28,264721,-42238
2026-Q2,In-season,A1005,Score Flex,Fruit,3160616,3652409,1005,1301,0.29,0.3,1095723,147537
2026-Q2,In-season,A1005,Revus Top,Vegetables,1736113,2025002,552,721,0.32,0.33,668252,95332
2026-Q2,In-season,A1005,Switch Max,Grapes,1469019,1396156,467,497,0.29,0.28,390924,-20402
2026-Q3,In-season,A1005,Score Flex,Fruit,2783229,0,885,0,0.29,0.3,0,-834969
2026-Q3,In-season,A1005,Revus Top,Vegetables,1528816,0,486,0,0.32,0.33,0,-504509
2026-Q3,In-season,A1005,Switch Max,Grapes,1293613,0,411,0,0.29,0.28,0,-362213
2026-Q4,After-season,A1005,Score Flex,Fruit,1934108,0,615,0,0.29,0.3,0,-580232
2026-Q4,After-season,A1005,Revus Top,Vegetables,1062397,0,338,0,0.32,0.33,0,-350592
2026-Q4,After-season,A1005,Switch Max,Grapes,898952,0,286,0,0.29,0.28,0,-251706
2026-Q1,Pre-season,A1006,Amistar Pro,Potatoes,1744086,1504099,845,670,0.24,0.22,330902,-52797
2026-Q1,Pre-season,A1006,Axial Prime,Corn,1229165,1240720,524,487,0.26,0.25,310181,2889
2026-Q1,Pre-season,A1006,Elatus Plus,Wheat,1063062,1000128,412,357,0.25,0.24,240030,-15104
2026-Q2,In-season,A1006,Amistar Pro,Potatoes,2337075,2221157,1133,1206,0.24,0.22,488654,-25501
2026-Q2,In-season,A1006,Axial Prime,Corn,1647081,1832212,703,876,0.26,0.25,458054,46284
2026-Q2,In-season,A1006,Elatus Plus,Wheat,1424503,1476924,552,641,0.25,0.24,354462,12580
2026-Q3,In-season,A1006,Amistar Pro,Potatoes,2058021,0,998,0,0.24,0.22,0,-452765
2026-Q3,In-season,A1006,Axial Prime,Corn,1450415,0,619,0,0.26,0.25,0,-362604
2026-Q3,In-season,A1006,Elatus Plus,Wheat,1254413,0,486,0,0.25,0.24,0,-301058
2026-Q4,After-season,A1006,Amistar Pro,Potatoes,1430150,0,693,0,0.24,0.22,0,-314633
2026-Q4,After-season,A1006,Axial Prime,Corn,1007916,0,430,0,0.26,0.25,0,-251979
2026-Q4,After-season,A1006,Elatus Plus,Wheat,871711,0,338,0,0.25,0.24,0,-209212
2026-Q1,Pre-season,A1007,Elatus Plus,Wheat,2524772,2375305,979,847,0.27,0.29,688837,-43346
2026-Q1,Pre-season,A1007,Axial Prime,Corn,1561372,1576048,666,618,0.28,0.3,472816,4404
2026-Q1,Pre-season,A1007,Revus Top,Vegetables,1162724,1230627,370,360,0.31,0.33,406108,22409
2026-Q2,In-season,A1007,Elatus Plus,Wheat,3383194,3507695,1312,1524,0.27,0.29,1017233,36106
2026-Q2,In-season,A1007,Axial Prime,Corn,2092239,2327406,892,1111,0.28,0.3,698222,70550
2026-Q2,In-season,A1007,Revus Top,Vegetables,1558050,1817309,495,647,0.31,0.33,599712,85556
2026-Q3,In-season,A1007,Elatus Plus,Wheat,2979231,0,1155,0,0.27,0.29,0,-863976
2026-Q3,In-season,A1007,Axial Prime,Corn,1842419,0,786,0,0.28,0.3,0,-552727
2026-Q3,In-season,A1007,Revus Top,Vegetables,1372014,0,436,0,0.31,0.33,0,-452765
2026-Q4,After-season,A1007,Elatus Plus,Wheat,2070313,0,803,0,0.27,0.29,0,-600392
2026-Q4,After-season,A1007,Axial Prime,Corn,1280325,0,546,0,0.28,0.3,0,-384097
2026-Q4,After-season,A1007,Revus Top,Vegetables,953434,0,303,0,0.31,0.33,0,-314633
2026-Q1,Pre-season,A1008,Axial Prime,Corn,1793917,1810781,765,710,0.25,0.24,434588,4048
2026-Q1,Pre-season,A1008,Elatus Plus,Wheat,1262386,1187653,489,423,0.26,0.25,296914,-18682
2026-Q1,Pre-season,A1008,Amistar Pro,Potatoes,963400,830836,467,371,0.23,0.22,182784,-29164
2026-Q2,In-season,A1008,Axial Prime,Corn,2403849,2674042,1025,1277,0.25,0.24,641771,64846
2026-Q2,In-season,A1008,Elatus Plus,Wheat,1691597,1753849,656,762,0.26,0.25,438463,15563
2026-Q2,In-season,A1008,Amistar Pro,Potatoes,1290956,1226925,626,666,0.23,0.22,269925,-14086
2026-Q3,In-season,A1008,Axial Prime,Corn,2116822,0,903,0,0.25,0.24,0,-508038
2026-Q3,In-season,A1008,Elatus Plus,Wheat,1489615,0,578,0,0.26,0.25,0,-372404
2026-Q3,In-season,A1008,Amistar Pro,Potatoes,1136812,0,551,0,0.23,0.22,0,-250099
2026-Q4,After-season,A1008,Axial Prime,Corn,1471012,0,627,0,0.25,0.24,0,-353042
2026-Q4,After-season,A1008,Elatus Plus,Wheat,1035156,0,401,0,0.26,0.25,0,-258789
2026-Q4,After-season,A1008,Amistar Pro,Potatoes,789988,0,383,0,0.23,0.22,0,-173797
